股票代码,股票名称,命中策略数,来源策略,综合评分,建议买入价,建议仓位%,建议金额,最新价,止损价(下轨),止盈价(上轨),MA20
002543,万和电气,1,Boll,50,6.79,12,12222.0,6.79,6.45,7.13,6.79
002545,东方铁塔,1,Boll,50,19.41,12,11646.0,19.41,18.44,20.38,19.41
002550,千红制药,1,Boll,50,5.84,12,12264.0,5.84,5.55,6.13,5.84
002558,巨人网络,1,Boll,50,23.65,12,11825.0,23.65,22.47,24.83,23.65
002560,通达股份,1,Boll,50,8.07,12,12105.0,8.07,7.67,8.47,8.07
002565,顺灏股份,1,Boll,50,13.67,12,12303.0,13.67,12.99,14.35,13.67
002580,圣阳股份,1,Boll,50,20.48,12,12288.0,20.48,19.46,21.5,20.48
002590,万安科技,1,Boll,50,10.83,12,11913.0,10.83,10.29,11.37,10.83
002591,恒大高新,1,Boll,50,7.13,12,12121.0,7.13,6.77,7.49,7.13
002592,ST八菱,1,Boll,50,6.61,12,11898.0,6.61,6.28,6.94,6.61
002603,以岭药业,1,Boll,50,14.75,12,11800.0,14.75,14.01,15.49,14.75
002606,大连电瓷,1,Boll,50,13.24,12,11916.0,13.24,12.58,13.9,13.24
002609,捷顺科技,1,Boll,50,7.31,12,11696.0,7.31,6.94,7.68,7.31
002617,露笑科技,1,Boll,50,8.13,12,12195.0,8.13,7.72,8.54,8.13
002626,金达威,1,Boll,50,14.02,12,12618.0,14.02,13.32,14.72,14.02
002627,三峡旅游,1,Boll,50,6.15,12,12300.0,6.15,5.84,6.46,6.15
002632,道明光学,1,Boll,50,9.69,12,11628.0,9.69,9.21,10.17,9.69
002635,安洁科技,1,Boll,50,16.27,12,11389.0,16.27,15.46,17.08,16.27
002639,雪人集团,1,Boll,50,14.31,12,11448.0,14.31,13.59,15.03,14.31
002644,佛慈制药,1,Boll,50,7.35,12,11760.0,7.35,6.98,7.72,7.35
002649,博彦科技,1,Boll,50,8.57,12,11998.0,8.57,8.14,9.0,8.57
002650,ST加加,1,Boll,50,7.27,12,12359.0,7.27,6.91,7.63,7.27
002673,西部证券,1,Boll,50,6.22,12,11818.0,6.22,5.91,6.53,6.22
002675,东诚药业,1,Boll,50,12.31,12,12310.0,12.31,11.69,12.93,12.31
002696,百洋股份,1,Boll,50,5.41,12,11902.0,5.41,5.14,5.68,5.41
002698,博实股份,1,Boll,50,11.28,12,12408.0,11.28,10.72,11.84,11.28
002705,新宝股份,1,Boll,50,11.65,12,11650.0,11.65,11.07,12.23,11.65
002706,良信股份,1,Boll,50,11.49,12,11490.0,11.49,10.92,12.06,11.49
002719,ST麦趣,1,Boll,50,7.13,12,12121.0,7.13,6.77,7.49,7.13
002722,物产金轮,1,Boll,50,12.4,12,12400.0,12.4,11.78,13.02,12.4
002723,小崧股份,1,Boll,50,8.24,12,12360.0,8.24,7.83,8.65,8.24
002725,跃岭股份,1,Boll,50,12.85,12,11565.0,12.85,12.21,13.49,12.85
002727,一心堂,1,Boll,50,10.83,12,11913.0,10.83,10.29,11.37,10.83
002728,特一药业,1,Boll,50,8.03,12,12045.0,8.03,7.63,8.43,8.03
002729,好利科技,1,Boll,50,16.71,12,11697.0,16.71,15.87,17.55,16.71
002732,燕塘乳业,1,Boll,50,13.74,12,12366.0,13.74,13.05,14.43,13.74
002745,木林森,1,Boll,50,9.23,12,11999.0,9.23,8.77,9.69,9.23
002753,永东股份,1,Boll,50,6.31,12,11989.0,6.31,5.99,6.63,6.31
