序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
139,600179,安通控股,4.28,17.26%,17.79%,112000000.00000001
140,603,盛达资源,26.37,17.25%,56.12%,43988200.0
151,300302,同有科技,22.51,16.39%,186.47%,524000000.0
152,933,神火股份,22.48,16.30%,28.45%,731000000.0
154,2787,华源控股,9.43,16.28%,69.75%,160000000.0
162,300509,新美星,10.71,15.78%,58.83%,54069799.99999999
168,2270,华明装备,22.68,15.42%,20.56%,16472900.0
169,601077,渝农商行,7.28,15.37%,10.50%,984000000.0
171,531,穗恒运A,6.91,15.36%,22.65%,13433699.999999998
173,601288,农业银行,7.62,15.28%,1.52%,5950000000.0
175,601963,重庆银行,10.3,15.21%,12.64%,369000000.0
177,899,赣能股份,10.52,14.97%,22.93%,143000000.0
180,300018,中元股份,10.05,14.60%,93.40%,29620600.0
181,2919,名臣健康,17.41,14.54%,40.64%,64502200.0
186,301010,晶雪节能,21.3,14.45%,30.12%,22897600.000000004
187,680,山推股份,11.49,14.44%,42.10%,305000000.0
192,2626,金达威,21.61,14.22%,20.94%,181000000.0
193,2043,兔宝宝,12.06,14.20%,21.07%,231999999.99999997
194,603086,先达股份,10.14,14.19%,78.19%,72821200.0
195,300138,晨光生物,14.41,14.18%,36.83%,118000000.0
196,300125,*ST聆达,9.58,14.18%,52.29%,15353599.999999998
201,601969,海南矿业,9.15,13.95%,18.43%,174000000.0
204,603069,海汽集团,24.3,13.87%,42.93%,111000000.00000001
205,905,厦门港务,9.36,13.87%,25.70%,18685900.0
206,601898,中煤能源,13.29,13.78%,4.68%,256000000.0
208,600792,云煤能源,4.23,13.71%,27.85%,123000000.0
214,603766,隆鑫通用,13.76,13.34%,19.61%,369000000.0
216,600578,京能电力,4.62,13.24%,8.29%,151000000.0
217,2836,新宏泽,10.35,13.24%,43.76%,25536900.0
218,975,山金国际,23.96,13.23%,17.91%,359000000.0
219,300093,*ST金刚,13.8,13.21%,17.90%,823800.0
221,2490,山东墨龙,6.78,13.19%,101.88%,139000000.0
223,603077,和邦生物,2.16,13.09%,42.62%,40215100.0
226,300585,奥联电子,17.83,12.99%,72.45%,31546800.0
228,301207,华兰疫苗,19.49,12.92%,7.05%,68917700.0
230,2026,山东威达,14.99,12.88%,74.70%,107000000.0
232,600012,皖通高速,14.86,12.83%,10.34%,158000000.0
233,792,盐湖股份,22.1,12.81%,18.62%,469000000.00000006
238,2293,罗莱生活,8.82,12.64%,11.88%,89291800.0
239,567,海德股份,7.13,12.64%,15.76%,178000000.0
240,300332,天壕能源,6.33,12.63%,51.84%,91838000.0
244,600388,龙净环保,15.11,12.51%,14.80%,154000000.0
246,600515,海南机场,4.5,12.50%,16.83%,628000000.0
247,2497,雅化集团,15.85,12.49%,56.81%,663000000.0
250,300164,通源石油,5.99,12.38%,183.23%,185000000.0
251,612,焦作万方,8.99,12.38%,54.23%,261000000.0
253,603568,伟明环保,21.6,12.32%,5.56%,292000000.0
255,1896,豫能控股,5.76,12.28%,31.88%,117000000.0
259,300523,辰安科技,25.13,12.14%,24.88%,145000000.0
260,600758,辽宁能源,4.16,12.13%,23.67%,111000000.00000001
265,751,锌业股份,3.93,11.97%,60.92%,6244000.0
279,300983,尤安设计,24.51,11.71%,13.93%,17415300.0
281,776,广发证券,23.37,11.71%,25.27%,610000000.0
283,688033,天宜新材,6.98,11.68%,51.66%,26623900.0
285,600497,驰宏锌锗,6.64,11.60%,40.37%,694000000.0
287,1203,大中矿业,13.1,11.49%,15.95%,85147500.0
290,601068,中铝国际,5.16,11.45%,7.90%,41583400.0
291,300437,清水源,9.57,11.41%,51.48%,32285600.0
293,600236,桂冠电力,7.17,11.34%,2.96%,212000000.0
294,605189,富春染织,17.6,11.32%,34.85%,2003600.0000000002
295,601600,中国铝业,8.47,11.30%,29.80%,1557000000.0
298,957,中通客车,12.24,11.27%,57.68%,234000000.0
299,603759,海天股份,8.56,11.17%,14.63%,17077100.0
300,300710,万隆光电,21.61,11.16%,84.22%,36681600.0
301,2478,常宝股份,6.08,11.15%,30.30%,26171400.0
303,300082,奥克股份,8.33,11.07%,28.06%,62589700.0
304,2135,东南网架,4.62,11.06%,25.44%,124000000.0
307,601012,隆基绿能,19.7,10.92%,35.87%,1191000000.0
308,300012,华测检测,14.33,10.91%,36.99%,325000000.0
309,300137,ST先河,7.24,10.87%,16.67%,64009900.0
310,600057,厦门象屿,7.76,10.86%,10.99%,192000000.0
317,2177,御银股份,8.2,10.66%,116.78%,274000000.0
320,601319,中国人保,8.5,10.53%,3.15%,690000000.0
324,600665,天地源,3.4,10.39%,19.35%,3544900.0
326,2790,瑞尔特,7.9,10.34%,19.75%,53378200.0
327,601015,陕西黑猫,3.85,10.32%,23.28%,64099000.0
331,2596,海南瑞泽,4.03,10.11%,58.01%,176000000.0
334,2967,广电计量,20.58,10.05%,22.39%,14879300.0
338,600686,金龙汽车,12.49,9.95%,64.86%,499000000.0
339,601225,陕西煤业,22.45,9.94%,6.16%,637000000.0
340,605228,神通科技,17.88,9.90%,16.28%,7820300.0
343,300423,昇辉科技,7.36,9.85%,78.95%,47981000.0
344,2541,鸿路钢构,19.45,9.82%,15.73%,104000000.0
347,300505,川金诺,21.44,9.72%,108.45%,353000000.0
348,600618,氯碱化工,11.09,9.69%,17.57%,30564899.999999996
349,603558,健盛集团,10.65,9.68%,17.59%,45206899.99999999
351,2181,粤传媒,8.64,9.64%,52.82%,4781000.0
352,603053,成都燃气,11.4,9.62%,11.14%,55146600.0
353,300329,海伦钢琴,14.7,9.62%,36.02%,13515400.0
358,605599,菜百股份,15.22,9.58%,9.19%,87851900.0
360,600188,兖矿能源,15.03,9.55%,11.46%,428000000.0
361,600115,中国东航,4.48,9.54%,8.13%,806000000.0
362,543,皖能电力,7.71,9.52%,28.71%,270000000.0
365,2928,华夏航空,10.68,9.43%,19.30%,27344200.0
367,601718,际华集团,3.86,9.35%,17.04%,73476900.0
369,600808,马钢股份,3.98,9.34%,21.96%,204000000.0
370,528,柳工,11.62,9.31%,44.48%,579000000.0
373,300189,神农种业,4.71,9.28%,117.71%,14723800.000000002
374,681,视觉中国,22.29,9.26%,106.70%,1173000000.0
378,600623,华谊集团,8.93,9.17%,10.78%,39586300.0
380,301348,蓝箭电子,24.69,9.15%,126.41%,122000000.0
382,3816,中国广核,3.96,9.09%,5.77%,1312000000.0
383,886,海南高速,7.08,9.09%,38.08%,197000000.0
384,17,深中华A,7.22,9.06%,100.80%,67302900.0
385,1333,光华股份,25.19,9.05%,86.63%,53004900.0
386,600886,国投电力,14.22,9.05%,4.99%,980000000.0000001
388,600919,江苏银行,10.99,9.03%,10.22%,1478000000.0
389,601111,中国国航,8.46,9.02%,7.34%,976000000.0
390,2342,巨力索具,8.12,8.99%,69.05%,172000000.0
393,300740,水羊股份,23.03,8.94%,64.98%,18254600.0
396,600630,龙头股份,9.29,8.91%,68.51%,20632100.0
397,600251,冠农股份,8.8,8.91%,17.10%,11608900.000000002
