序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
2055,603182,嘉华股份,14.18,-1.32%,3.12%,755800.0
2062,2003,伟星股份,10.38,-1.33%,2.20%,16710200.0
2104,600302,标准股份,7.15,-1.38%,8.14%,2228700.0
2112,688329,艾隆科技,19.7,-1.40%,5.70%,324500.0
2143,2832,比音勒芬,15.72,-1.44%,4.62%,10166500.0
2153,3003,天元股份,12.15,-1.46%,7.81%,946800.0000000001
2174,300381,溢多利,6.67,-1.48%,3.39%,4963800.0
2181,603566,普莱柯,13.88,-1.49%,3.43%,7215700.000000001
2192,301363,美好医疗,22.19,-1.51%,6.44%,1094400.0
2195,969,安泰科技,19.56,-1.51%,78.05%,583000000.0
2196,719,中原传媒,12.39,-1.51%,4.05%,5763500.0
2197,688203,海正生材,12.96,-1.52%,5.87%,197800.0
2199,688597,煜邦电力,8.42,-1.52%,6.69%,7000800.0
2200,603321,梅轮电梯,7.78,-1.52%,3.66%,530700.0
2202,600621,华鑫股份,16.17,-1.52%,7.40%,9358800.0
2224,301113,雅艺科技,21.56,-1.55%,6.39%,2747500.0
2256,603190,亚通精工,22.35,-1.59%,24.07%,8307400.0
2258,1231,农心科技,20.37,-1.59%,6.97%,1201200.0
2269,2150,通润装备,17.87,-1.60%,31.20%,91811000.0
2275,688739,成大生物,26.69,-1.62%,1.32%,962900.0000000001
2305,301273,瑞晨环保,26.09,-1.66%,8.03%,2585800.0
2316,300621,维业股份,8.84,-1.67%,5.91%,1378800.0
2318,600265,ST景谷,20.46,-1.68%,1.59%,2947300.0
2355,2749,国光股份,14.85,-1.72%,1.00%,191800.0
2375,2234,民和股份,8.42,-1.75%,3.81%,1824300.0
2381,300577,开润股份,22.3,-1.76%,4.34%,5072000.0
2391,600699,均胜电子,29.2,-1.78%,11.66%,117000000.0
2395,688163,赛伦生物,22.51,-1.79%,2.01%,1264000.0
2472,688178,万德斯,25.39,-1.89%,3.85%,2204400.0
2475,300717,华信新材,19.17,-1.89%,5.80%,6374600.0
2492,301223,中荣股份,17.48,-1.91%,3.44%,3840400.0
2506,300550,和仁科技,11.73,-1.92%,3.92%,15092800.0
2517,300385,雪浪环境,5.07,-1.93%,6.54%,297200.0
2531,301057,汇隆新材,22.64,-1.95%,5.86%,1596600.0
2544,2706,良信股份,11.03,-1.96%,29.89%,73580300.0
2551,301167,建研设计,15.91,-1.97%,9.59%,1008700.0
2560,301059,金三江,10.88,-1.98%,3.13%,1637100.0
2587,301090,华润材料,7.33,-2.01%,1.21%,485700.0
2591,300787,海能实业,13.18,-2.01%,8.10%,783900.0
2620,300960,通业科技,25.5,-2.04%,3.10%,836000.0
2647,2381,双箭股份,6.59,-2.08%,3.74%,5651799.999999999
2699,301051,信濠光电,20.79,-2.16%,3.83%,9900500.0
2749,301313,凡拓数创,23.66,-2.23%,6.07%,1877600.0
2753,2623,亚玛顿,19.61,-2.24%,5.97%,273000.0
2771,300457,赢合科技,29.75,-2.27%,9.22%,14732300.0
2779,688087,英科再生,26.84,-2.29%,2.27%,7519000.0
2806,300838,浙江力诺,14.23,-2.33%,4.89%,1526500.0
2811,868,安凯客车,5.45,-2.33%,9.84%,6630800.0
2823,300244,迪安诊断,14.96,-2.35%,6.01%,536200.0
2824,2043,兔宝宝,12.06,-2.35%,6.53%,35473200.0
2951,300824,北鼎股份,11.55,-2.53%,3.53%,1296399.9999999998
2961,301029,怡合达,27.22,-2.54%,5.97%,1166000.0
2966,300535,达威股份,18.42,-2.54%,6.17%,2484000.0
3011,601636,旗滨集团,7.09,-2.61%,4.89%,23904100.0
3057,2231,*ST奥维,2.91,-2.68%,29.36%,6765100.0
3082,2205,国统股份,13.59,-2.72%,7.41%,2138300.0
3137,300853,申昊科技,21.71,-2.82%,7.23%,5501200.0
3229,603378,亚士创能,5.93,-2.95%,11.18%,5826700.0
3279,603518,锦泓集团,9.64,-3.02%,21.26%,833100.0
3333,600791,京能置业,4.7,-3.09%,4.18%,2418000.0
3339,300214,日科化学,7.5,-3.10%,9.21%,1114300.0
3375,300417,南华仪器,12.55,-3.16%,7.35%,6627500.0
3392,600282,南钢股份,5.17,-3.18%,2.15%,48055600.00000001
3405,300444,双杰电气,8.48,-3.20%,45.76%,3660800.0
3409,2121,科陆电子,8.76,-3.20%,23.76%,30733100.0
3478,2072,凯瑞德,6.99,-3.32%,4.58%,623300.0
3480,601231,环旭电子,18.94,-3.32%,3.10%,47120800.0
3518,300503,昊志机电,26.77,-3.36%,10.11%,6945599.999999999
3523,605365,立达信,15.17,-3.38%,3.66%,4086900.0
3538,688079,美迪凯,12.78,-3.40%,3.94%,118500.0
3555,688001,华兴源创,27.87,-3.43%,2.13%,495700.0
3578,300802,矩子科技,19.28,-3.46%,5.25%,7579600.0
3586,300828,锐新科技,15.3,-3.47%,5.71%,5989700.0
3588,301399,英特科技,18.31,-3.48%,9.55%,970800.0
3600,833,粤桂股份,14.35,-3.50%,44.44%,8398200.0
3627,300428,立中集团,22.01,-3.55%,6.38%,7326000.0
3790,2396,星网锐捷,26.92,-3.86%,10.52%,125000000.0
3900,586,汇源通信,12.72,-4.07%,11.01%,8525400.0
3910,688272,富吉瑞,23.42,-4.10%,5.22%,2012700.0
3959,300443,金雷股份,27.5,-4.18%,15.83%,6839200.0
4054,2006,精工科技,19.42,-4.38%,8.65%,5363700.0
4118,2521,齐峰新材,9.19,-4.57%,5.53%,14538800.000000002
4360,2762,*ST金比,8.52,-5.23%,8.83%,37963000.0
4365,603159,上海亚虹,22.22,-5.25%,5.50%,2982900.0
4486,603829,洛凯股份,18.88,-5.60%,7.79%,1332600.0
4536,688081,兴图新科,27.5,-5.76%,9.54%,4754700.0
4665,603300,海南华铁,7.09,-6.34%,31.68%,19649500.0
4703,600233,圆通速递,16.5,-6.57%,2.32%,37317900.0
4713,691,*ST亚太,11.13,-6.63%,14.50%,44241300.0
4898,681,视觉中国,22.29,-7.97%,28.24%,33138800.0
4967,688593,新相微,18.31,-8.72%,6.69%,41797500.0
5034,603110,东方材料,17.23,-9.79%,35.47%,15436600.0
5080,6,深振业A,12.24,-11.24%,29.16%,67806000.0
5114,2193,如意集团,5.06,-12.91%,20.18%,14816600.0
5133,603388,*ST元成,1.28,-14.09%,0.36%,1612300.0
