序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
223,601360,三六零,13.16,15.24%,19.23%,7.46亿
224,2659,凯文教育,7.04,15.22%,34.39%,1.09亿
225,300102,乾照光电,35.92,15.17%,79.64%,12.30亿
226,987,越秀资本,10.6,15.09%,14.91%,-11.06亿
227,301169,零点有数,63.23,15.03%,18.64%,784.42万
228,301213,观想科技,96.54,14.93%,58.17%,6756.64万
229,300435,中泰股份,29.68,14.91%,38.44%,708.60万
230,301306,西测测试,165.0,14.90%,70.84%,9302.30万
231,300168,万达信息,7.79,14.90%,20.63%,3.14亿
232,300248,新开普,14.38,14.86%,38.96%,4.21亿
233,300617,安靠智电,38.75,14.85%,16.93%,7070.38万
234,2729,好利科技,18.73,14.84%,41.00%,-474.16万
235,603739,蔚蓝生物,16.74,14.66%,13.93%,-2480.91万
236,2181,粤传媒,10.5,14.63%,34.99%,-2.27亿
237,600651,飞乐音响,8.57,14.57%,10.55%,8462.40万
238,300682,朗新集团,18.34,14.55%,17.99%,1.78亿
239,301066,万事利,22.69,14.54%,40.20%,-3002.87万
240,688122,西部超导,95.57,14.46%,29.12%,3.48亿
241,300005,探路者,12.93,14.42%,16.50%,1.08亿
242,688065,凯赛生物,62.24,14.41%,5.45%,1.50亿
243,300148,天舟文化,5.16,14.41%,40.76%,2.82亿
244,300385,雪浪环境,7.39,14.40%,18.47%,361.71万
245,2112,三变科技,17.48,14.40%,76.02%,-9726.53万
246,688229,博睿数据,78.0,14.34%,28.80%,4080.20万
247,688680,海优新材,52.15,14.34%,29.16%,8014.49万
248,605162,新中港,10.13,14.33%,21.46%,-6609.15万
249,2589,瑞康医药,3.83,14.33%,31.44%,1.40亿
250,301148,嘉戎技术,58.91,14.28%,38.33%,-4950.09万
251,426,兴业银锡,46.76,14.27%,14.10%,7.83亿
252,300113,顺网科技,23.9,14.24%,35.96%,4.54亿
253,688111,金山办公,371.79,14.22%,9.69%,9.80亿
254,300937,药易购,40.41,14.22%,66.86%,93.33万
255,605186,健麾信息,22.97,14.17%,10.37%,-1417.80万
256,2219,新里程,2.5,14.16%,11.89%,-2.79亿
257,676,智度股份,10.17,14.14%,35.77%,5.34亿
258,688636,智明达,55.8,14.13%,40.47%,-6116.70万
