序号,股票代码,股票简称,最新价,阶段涨跌幅,连续换手率,资金流入净额
3835,525,红太阳,7.02,0.43%,17.25%,-74004100.0
3836,69,华侨城A,2.33,0.43%,5.23%,-40125500.0
3837,27,深圳能源,6.93,0.43%,3.05%,-103000000.0
3838,688676,金盘科技,52.12,0.42%,20.80%,-132000000.0
3839,1289,龙源电力,16.75,0.42%,0.56%,-36720100.0
3840,603505,金石资源,16.8,0.42%,9.57%,-95927700.0
3841,600378,昊华科技,28.65,0.42%,7.80%,-145000000.0
3842,2313,日海智能,12.0,0.42%,43.07%,-137000000.0
3843,2092,中泰化学,4.76,0.42%,7.57%,-44240700.0
3844,301149,隆华新材,12.37,0.41%,14.83%,-13618699.999999998
3845,1332,锡装股份,39.05,0.41%,17.90%,-19136100.0
3846,601111,中国国航,7.4,0.41%,3.94%,94808300.0
3847,600958,东方证券,12.12,0.41%,7.71%,-121000000.0
3848,600345,长江通信,26.96,0.41%,17.72%,-74636100.0
3849,600266,城建发展,4.93,0.41%,10.36%,-37733100.0
3850,300699,光威复材,31.98,0.41%,14.98%,-131000000.0
3851,301507,民生健康,15.24,0.40%,28.00%,-15456500.0
3852,301314,科瑞思,44.76,0.40%,24.33%,-3072300.0
3853,300901,中胤时尚,17.67,0.40%,9.54%,-20003000.0
3854,300594,朗进科技,19.98,0.40%,27.86%,2307800.0
3855,300146,汤臣倍健,12.41,0.40%,11.30%,-172000000.0
3856,2700,万憬能源,7.54,0.40%,12.45%,-18260800.0
3857,2440,闰土股份,7.61,0.40%,9.54%,-182000000.0
3858,552,甘肃能化,2.54,0.40%,5.42%,-34739400.0
3859,301595,太力科技,43.73,0.39%,99.34%,-106000000.0
3860,600269,赣粤高速,5.13,0.39%,4.02%,-67619300.0
3861,600023,浙能电力,5.2,0.39%,1.47%,-60900500.0
3862,605016,百龙创园,20.91,0.38%,9.76%,-118000000.0
3863,605177,东亚药业,20.88,0.38%,8.81%,-10123400.0
3864,600015,华夏银行,7.86,0.38%,1.49%,4243700.0
3865,300609,汇纳科技,53.0,0.38%,57.17%,-32027900.0
3866,2880,卫光生物,29.29,0.38%,3.90%,-7681400.0
3867,688315,诺禾致源,16.41,0.37%,9.22%,-24595900.0
3868,600916,中国黄金,8.17,0.37%,5.22%,-43223700.0
3869,603557,ST起步,2.72,0.37%,7.12%,-7246000.0
3870,600882,妙可蓝多,27.18,0.37%,8.04%,-92737500.0
3871,688515,裕太微,104.27,0.36%,34.18%,-117000000.0
3872,301156,美农生物,19.33,0.36%,24.90%,-5181799.999999999
3873,301222,浙江恒威,30.64,0.36%,34.30%,-14259900.0
3874,603878,武进不锈,5.63,0.36%,7.71%,-24041400.0
3875,601336,新华保险,67.44,0.36%,4.08%,-367000000.0
3876,601107,四川成渝,5.62,0.36%,2.57%,-4265100.0
3877,600571,信雅达,19.68,0.36%,50.72%,-393000000.0
3878,2860,星帅尔,13.98,0.36%,28.51%,-67289100.0
3879,2393,力生制药,25.38,0.36%,29.47%,-198000000.0
3880,507,珠海港,5.6,0.36%,8.24%,-44039200.0
3881,688638,誉辰智能,39.84,0.35%,11.49%,-1167900.0
3882,300882,万胜智能,17.04,0.35%,9.30%,-19161500.0
3883,600185,珠免集团,5.75,0.35%,5.90%,-19126100.0
3884,2337,赛象科技,5.8,0.35%,14.00%,-52445500.0
3885,1206,依依股份,25.63,0.35%,37.66%,-43963400.0
3886,1337,四川黄金,23.4,0.34%,11.13%,-62378100.00000001
3887,600780,通宝能源,5.99,0.34%,6.31%,-79343900.0
3888,600029,南方航空,5.88,0.34%,2.86%,244000000.0
3889,300691,联合光电,20.47,0.34%,19.79%,-9129200.0
3890,300390,天华新能,20.78,0.34%,12.25%,-96875000.0
3891,603020,爱普股份,9.05,0.33%,5.44%,-6747900.0
3892,600675,中华企业,3.04,0.33%,3.23%,-32410300.000000004
3893,300644,南京聚隆,39.1,0.33%,66.52%,-208000000.0
