序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2024预测每股收益,2025预测每股收益,2026预测每股收益,2027预测每股收益
134,600872,中炬高新,23,17.0,6.0,0.0,0.0,0.0,1.146439793673,0.969173913043,1.117,1.252590909091
135,002850,科达利,23,18.0,5.0,0.0,0.0,0.0,5.375367588338,6.618434782609,8.03,9.690136363636
136,002563,森马服饰,23,15.0,8.0,0.0,0.0,0.0,0.422183867503,0.365652173913,0.430869565217,0.5
137,601985,中国核电,23,17.0,6.0,0.0,0.0,0.0,0.426747431217,0.48652173913,0.519565217391,0.580363636364
138,300124,汇川技术,23,15.0,8.0,0.0,0.0,0.0,1.587398092935,2.045347826087,2.466956521739,2.914090909091
139,603596,伯特利,23,21.0,2.0,0.0,0.0,0.0,1.993124051423,2.433041666667,3.112958333333,3.949875
140,000807,云铝股份,23,18.0,5.0,0.0,0.0,0.0,1.272123698569,1.887391304348,2.214347826087,2.459565217391
141,603529,爱玛科技,23,19.0,4.0,0.0,0.0,0.0,2.287267632788,3.00052173913,3.579739130435,4.102045454545
142,002142,宁波银行,23,16.0,7.0,0.0,0.0,0.0,4.107916564555,4.337391304348,4.717391304348,5.19
143,600761,安徽合力,22,17.0,5.0,0.0,0.0,0.0,1.481578886291,1.613363636364,1.806954545455,2.035761904762
144,601628,中国人寿,22,18.0,4.0,0.0,0.0,0.0,3.783340388658,4.256666666667,4.255555555556,4.782352941176
145,300454,深信服,22,15.0,7.0,0.0,0.0,0.0,0.466642594283,0.912272727273,1.338636363636,1.709523809524
146,601899,紫金矿业,22,17.0,5.0,0.0,0.0,0.0,1.205926564605,1.800909090909,2.139090909091,2.409047619048
147,300394,天孚通信,22,19.0,3.0,0.0,0.0,0.0,1.728189825322,3.03919047619,4.21919047619,5.345476190476
148,600011,华能国际,22,16.0,6.0,0.0,0.0,0.0,0.645651263578,0.806757142857,0.853142857143,0.89835
149,603317,天味食品,22,12.0,10.0,0.0,0.0,0.0,0.586513840019,0.592227272727,0.662636363636,0.73819047619
150,300866,安克创新,22,18.0,4.0,0.0,0.0,0.0,3.943671613033,4.940869565217,6.258260869565,7.844347826087
151,603305,旭升集团,22,16.0,5.0,1.0,0.0,0.0,0.405126021269,0.530454545455,0.656363636364,0.804285714286
152,001979,招商蛇口,22,15.0,7.0,0.0,0.0,0.0,0.445717314106,0.468954545455,0.526954545455,0.600285714286
153,600315,上海家化,22,14.0,8.0,0.0,0.0,0.0,-1.239304262236,0.518636363636,0.693181818182,0.829047619048
