成交时间,股票代码,股票简称,成交价格,成交量,成交额,大单性质,涨跌幅,涨跌额
2025-08-12 15:00:00,301005,超捷股份,54.32,9500,51.6,买盘,-2.77%,-1.51
2025-08-12 15:00:00,300987,川网传媒,19.38,27200,52.71,卖盘,-1.57%,-0.31
2025-08-12 15:00:00,300987,川网传媒,19.38,46300,89.73,卖盘,-1.57%,-0.31
2025-08-12 15:00:00,301149,隆华新材,12.74,46600,59.37,买盘,-0.23%,-0.03
2025-08-12 15:00:00,300968,格林精密,15.43,133700,206.3,买盘,0.13%,0.02
2025-08-12 15:00:00,301141,中科磁业,66.27,21900,145.13,买盘,-3.62%,-2.4
2025-08-12 15:00:00,301123,奕东电子,33.38,66600,222.31,买盘,0.39%,0.13
2025-08-12 15:00:00,300959,线上线下,45.78,16800,76.91,卖盘,0.90%,0.41
2025-08-12 15:00:00,300953,震裕科技,115.55,5120,59.16,买盘,9.61%,11.1
2025-08-12 15:00:00,300953,震裕科技,115.55,6600,76.26,买盘,9.61%,11.1
2025-08-12 15:00:00,300953,震裕科技,115.55,6000,69.33,买盘,9.61%,11.1
2025-08-12 15:00:00,300953,震裕科技,115.55,9520,110.0,买盘,9.61%,11.1
2025-08-12 15:00:00,300942,易瑞生物,12.91,44200,57.06,买盘,-2.93%,-0.38
2025-08-12 15:00:00,300916,朗特智能,43.89,20000,87.78,买盘,-2.47%,-1.08
2025-08-12 15:00:00,300916,朗特智能,43.89,36200,158.88,买盘,-2.47%,-1.08
2025-08-12 15:00:00,301096,百诚医药,60.51,10000,60.51,买盘,2.08%,1.26
2025-08-12 15:00:00,301096,百诚医药,60.51,8400,50.83,买盘,2.08%,1.26
2025-08-12 15:00:00,301095,广立微,82.0,40000,328.0,买盘,5.93%,4.86
2025-08-12 15:00:00,301095,广立微,82.0,20000,164.0,买盘,5.93%,4.86
2025-08-12 15:00:00,301095,广立微,82.0,20000,164.0,买盘,5.93%,4.86
2025-08-12 15:00:00,301095,广立微,82.0,48500,397.7,卖盘,5.93%,4.86
2025-08-12 15:00:00,301095,广立微,82.0,21200,173.84,买盘,5.93%,4.86
2025-08-12 15:00:00,301095,广立微,82.0,162900,1335.78,买盘,5.93%,4.86
2025-08-12 15:00:00,300895,铜牛信息,47.3,21900,103.59,卖盘,0.25%,0.12
2025-08-12 15:00:00,300895,铜牛信息,47.3,33300,157.51,卖盘,0.25%,0.12
2025-08-12 15:00:00,301078,孩子王,12.6,93700,118.06,卖盘,-0.94%,-0.12
2025-08-12 15:00:00,301076,新瀚新材,47.73,87000,415.25,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,35600,169.92,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,13000,62.05,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,11900,56.8,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,18400,87.82,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,31700,151.3,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,17500,83.53,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,15600,74.46,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,44800,213.83,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,16200,77.32,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,301076,新瀚新材,47.73,13000,62.05,卖盘,-4.06%,-1.94
2025-08-12 15:00:00,300875,捷强装备,60.42,9000,54.38,卖盘,-6.85%,-4.14
2025-08-12 15:00:00,300875,捷强装备,60.42,20800,125.67,买盘,-6.85%,-4.14
