序号,股票代码,股票简称,最新价,涨跌幅,换手率,流入资金,流出资金,净额,成交额
1369,990,诚志股份,7.74,0.52%,1.02%,5044.90万,4488.45万,556.45万,9533.36万
1370,517,荣安地产,1.95,0.52%,0.96%,2523.56万,2093.22万,430.33万,4671.17万
1371,1201,东瑞股份,17.74,0.51%,1.91%,3990.54万,3912.97万,77.58万,7903.50万
1372,1230,劲旅环境,25.85,0.51%,16.96%,1.25亿,1.16亿,925.80万,2.41亿
1373,301223,中荣股份,17.91,0.51%,1.83%,1849.78万,1810.58万,39.20万,3660.35万
1374,2962,五方光电,15.68,0.51%,3.59%,5189.71万,6529.25万,-1339.54万,1.17亿
1375,603967,中创物流,11.87,0.51%,1.58%,3300.31万,3215.62万,84.69万,6515.93万
1376,603690,至纯科技,25.66,0.51%,3.71%,1.89亿,1.75亿,1399.33万,3.64亿
1377,603636,南威软件,13.76,0.51%,4.36%,1.71亿,1.73亿,-267.95万,3.44亿
1378,605155,西大门,13.7,0.51%,2.27%,2854.24万,3030.92万,-176.68万,5885.16万
1379,603027,千禾味业,11.89,0.51%,1.16%,6859.73万,6422.66万,437.07万,1.33亿
1380,601799,星宇股份,122.2,0.51%,0.59%,1.19亿,8781.92万,3147.23万,2.07亿
1381,600287,江苏舜天,5.86,0.51%,1.71%,2020.38万,2359.42万,-339.04万,4379.81万
1382,600055,万东医疗,17.85,0.51%,1.29%,8640.71万,7647.47万,993.25万,1.63亿
1383,300619,金银河,27.35,0.51%,8.23%,1.77亿,1.50亿,2621.05万,3.27亿
1384,2601,龙佰集团,17.74,0.51%,0.98%,1.75亿,1.71亿,404.80万,3.46亿
1385,3012,东鹏控股,6.07,0.50%,0.55%,2041.06万,1803.32万,237.74万,3844.68万
1386,603583,捷昌驱动,38.48,0.50%,2.75%,1.87亿,2.15亿,-2840.34万,4.02亿
1387,600780,通宝能源,6.07,0.50%,0.64%,2095.20万,2317.34万,-222.15万,4412.54万
1388,600758,辽宁能源,4.06,0.50%,1.19%,3275.02万,3098.01万,177.01万,6373.02万
1389,600571,信雅达,18.18,0.50%,4.58%,1.92亿,1.88亿,451.27万,3.80亿
1390,600390,五矿资本,6.07,0.50%,1.05%,1.42亿,1.46亿,-338.44万,2.88亿
1391,300622,博士眼镜,34.42,0.50%,7.70%,2.16亿,1.93亿,2293.35万,4.09亿
1392,2039,黔源电力,15.94,0.50%,0.63%,2660.23万,1646.44万,1013.78万,4306.67万
1393,159,国际实业,5.99,0.50%,4.82%,7251.05万,6420.21万,830.84万,1.38亿
1394,300908,仲景食品,30.68,0.49%,1.03%,2242.88万,1641.98万,600.89万,3884.86万
1395,603817,海峡环保,6.1,0.49%,1.49%,3009.73万,2171.94万,837.79万,5181.68万
1396,601628,中国人寿,40.68,0.49%,0.06%,2.64亿,2.20亿,4383.97万,4.84亿
1397,601099,太平洋,4.07,0.49%,2.29%,3.63亿,2.70亿,9322.71万,6.34亿
1398,600508,上海能源,12.36,0.49%,0.47%,2221.97万,1993.11万,228.86万,4215.07万
1399,2546,新联电子,6.12,0.49%,3.03%,7639.38万,7224.51万,414.87万,1.49亿
1400,2357,富临运业,10.19,0.49%,3.69%,6019.86万,5781.08万,238.78万,1.18亿
1401,600666,奥瑞德,4.18,0.48%,17.32%,8.92亿,8.72亿,2008.20万,17.63亿
1402,603312,西典新能,46.39,0.48%,4.12%,5001.49万,4993.37万,8.12万,9994.86万
1403,688379,华光新材,49.9,0.48%,8.06%,1.54亿,2.04亿,-4957.61万,3.58亿
1404,603679,华体科技,16.76,0.48%,5.92%,8397.58万,7908.19万,489.39万,1.63亿
1405,603386,骏亚科技,14.64,0.48%,3.03%,7534.01万,6861.12万,672.88万,1.44亿
1406,601318,中国平安,58.75,0.48%,0.40%,13.38亿,11.70亿,1.68亿,25.08亿
1407,601166,兴业银行,22.99,0.48%,0.28%,7.59亿,6.24亿,1.35亿,13.83亿
1408,600548,深高速,10.42,0.48%,0.30%,3127.10万,1383.51万,1743.58万,4510.61万
1409,300380,安硕信息,47.68,0.48%,4.28%,1.41亿,1.18亿,2317.52万,2.59亿
1410,300349,金卡智能,12.68,0.48%,2.24%,5448.76万,4998.08万,450.68万,1.04亿
1411,301539,宏鑫科技,20.92,0.48%,2.14%,1520.49万,1830.96万,-310.48万,3351.45万
1412,2936,郑州银行,2.1,0.48%,1.23%,9658.74万,7580.86万,2077.88万,1.73亿
1413,2562,兄弟科技,6.24,0.48%,21.26%,4.44亿,4.96亿,-5188.02万,9.40亿
1414,2500,山西证券,6.29,0.48%,0.85%,1.00亿,9079.73万,929.92万,1.91亿
1415,2063,远光软件,6.34,0.48%,2.72%,1.46亿,1.47亿,-54.40万,2.93亿
1416,686,东北证券,8.35,0.48%,0.90%,9713.59万,7737.01万,1976.58万,1.75亿
1417,1389,广合科技,66.25,0.47%,6.29%,3.06亿,3.15亿,-943.52万,6.21亿
1418,688351,微电生理,23.71,0.47%,4.84%,7304.77万,6936.99万,367.78万,1.42亿
1419,603355,莱克电气,23.64,0.47%,0.36%,2336.69万,2540.72万,-204.04万,4877.41万
1420,300711,广哈通信,23.41,0.47%,3.11%,8855.83万,9306.20万,-450.37万,1.82亿
1421,2746,仙坛股份,6.48,0.47%,3.10%,6857.97万,7467.86万,-609.89万,1.43亿
1422,721,西安饮食,8.57,0.47%,1.93%,4909.61万,3537.16万,1372.45万,8446.78万
1423,688045,必易微,39.1,0.46%,4.32%,3182.74万,3187.28万,-4.53万,6370.02万
1424,2788,鹭燕医药,8.76,0.46%,1.86%,3214.44万,3011.74万,202.69万,6226.18万
1425,688819,天能股份,28.69,0.46%,0.27%,3380.99万,4035.89万,-654.90万,7416.88万
1426,300925,法本信息,23.9,0.46%,2.84%,1.26亿,1.10亿,1597.41万,2.36亿
1427,603888,新华网,19.45,0.46%,0.90%,6144.92万,5638.79万,506.12万,1.18亿
1428,601881,中国银河,17.48,0.46%,0.55%,3.40亿,3.60亿,-1977.13万,7.01亿
1429,601139,深圳燃气,6.62,0.46%,0.38%,3951.62万,3232.96万,718.66万,7184.57万
1430,600689,上海三毛,13.16,0.46%,2.25%,2041.89万,2450.77万,-408.88万,4492.66万
1431,300391,*ST长药,4.39,0.46%,2.35%,1922.83万,1684.18万,238.65万,3607.02万
1432,2909,集泰股份,6.53,0.46%,3.48%,4864.88万,3746.20万,1118.68万,8611.07万
1433,2673,西部证券,8.67,0.46%,1.80%,3.24亿,3.13亿,1139.55万,6.37亿
1434,301187,欧圣电气,33.71,0.45%,12.41%,1.33亿,1.45亿,-1234.79万,2.78亿
1435,601375,中原证券,4.49,0.45%,1.59%,1.22亿,1.24亿,-165.94万,2.46亿
1436,600754,锦江酒店,22.4,0.45%,0.84%,1.02亿,6891.58万,3285.25万,1.71亿
1437,600702,舍得酒业,53.5,0.45%,3.08%,2.96亿,2.55亿,4109.78万,5.52亿
1438,2290,禾盛新材,31.08,0.45%,1.39%,5329.60万,5305.10万,24.50万,1.06亿
1439,300404,博济医药,11.05,0.45%,6.22%,8989.92万,1.02亿,-1195.08万,1.92亿
1440,593,德龙汇能,6.66,0.45%,1.81%,2426.17万,1888.44万,537.73万,4314.60万
1441,564,供销大集,2.29,0.44%,1.22%,2.29亿,1.81亿,4737.42万,4.10亿
1442,603120,肯特催化,41.45,0.44%,8.76%,4189.08万,3831.25万,357.82万,8020.34万
1443,688097,博众精工,31.8,0.44%,1.17%,9834.17万,6738.50万,3095.67万,1.66亿
1444,300926,博俊科技,27.22,0.44%,1.76%,6931.95万,6517.03万,414.92万,1.34亿
1445,300842,帝科股份,45.2,0.44%,2.68%,7392.70万,7779.59万,-386.89万,1.52亿
1446,603605,珀莱雅,82.94,0.44%,1.26%,2.00亿,2.14亿,-1408.97万,4.14亿
1447,505,京粮控股,6.8,0.44%,1.89%,3898.25万,3943.95万,-45.70万,7947.80万
1448,688150,莱特光电,27.91,0.43%,1.48%,3567.97万,3808.66万,-240.69万,7376.63万
1449,688025,杰普特,115.9,0.43%,2.05%,1.14亿,1.10亿,463.60万,2.24亿
1450,688007,光峰科技,16.46,0.43%,1.61%,5501.42万,6597.72万,-1096.29万,1.21亿
1451,603688,石英股份,34.74,0.43%,1.90%,1.52亿,2.03亿,-5099.18万,3.55亿
1452,600903,贵州燃气,7.05,0.43%,1.23%,5416.05万,4601.00万,815.04万,1.00亿
1453,600369,西南证券,4.66,0.43%,0.48%,8042.12万,6754.85万,1287.27万,1.48亿
1454,300643,万通智控,25.72,0.43%,3.10%,8905.17万,9448.43万,-543.26万,1.84亿
1455,300058,蓝色光标,6.99,0.43%,4.39%,4.81亿,5.63亿,-8116.14万,10.44亿
1456,3021,兆威机电,117.62,0.42%,2.70%,3.25亿,3.27亿,-243.18万,6.51亿
1457,603070,万控智造,14.29,0.42%,0.81%,2212.62万,2333.27万,-120.65万,4545.89万
1458,2285,世联行,2.4,0.42%,1.75%,4364.72万,3959.27万,405.45万,8324.00万
1459,301176,逸豪新材,31.39,0.42%,13.99%,1.08亿,1.38亿,-2991.88万,2.47亿
1460,688411,海博思创,93.2,0.42%,5.08%,7832.41万,1.02亿,-2332.45万,1.80亿
1461,2553,南方精工,26.36,0.42%,21.83%,6.77亿,7.84亿,-1.07亿,14.61亿
1462,688699,明微电子,38.66,0.42%,1.78%,3918.23万,3640.91万,277.33万,7559.14万
1463,300522,世名科技,14.49,0.42%,8.04%,1.42亿,1.61亿,-1921.50万,3.03亿
1464,300439,美康生物,11.87,0.42%,3.55%,6405.96万,6028.30万,377.66万,1.24亿
1465,603002,宏昌电子,7.22,0.42%,4.99%,2.02亿,2.05亿,-246.59万,4.07亿
1466,601939,建设银行,9.51,0.42%,1.15%,5.19亿,5.24亿,-508.84万,10.43亿
1467,600386,北巴传媒,4.73,0.42%,0.97%,1852.29万,1855.63万,-3.34万,3707.92万
1468,301636,泽润新能,56.78,0.42%,8.07%,3659.93万,3257.74万,402.20万,6917.67万
1469,300514,友讯达,14.27,0.42%,2.30%,2440.52万,2751.49万,-310.98万,5192.01万
1470,300025,华星创业,7.22,0.42%,4.54%,7624.34万,8959.69万,-1335.35万,1.66亿
1471,2698,博实股份,16.9,0.42%,1.56%,1.02亿,1.18亿,-1664.24万,2.20亿
1472,2677,浙江美大,7.12,0.42%,0.85%,1825.83万,1391.80万,434.03万,3217.62万
1473,2475,立讯精密,38.17,0.42%,1.06%,15.57亿,13.65亿,1.92亿,29.22亿
1474,2273,水晶光电,21.75,0.42%,3.10%,4.39亿,4.76亿,-3627.41万,9.15亿
