序号,代码,名称,最新价,今日排行榜-主力净占比,今日排行榜-今日排名,今日排行榜-今日涨跌,5日排行榜-主力净占比,5日排行榜-5日排名,5日排行榜-5日涨跌,10日排行榜-主力净占比,10日排行榜-10日排名,10日排行榜-10日涨跌,所属板块
3975,301017,漱玉平民,13.33,-17.68,5193.0,-1.11,-4.52,3947,-1.55,0.8,939,2.22,医药商业
3976,600166,福田汽车,2.67,-5.9,3264.0,-1.11,-1.68,2480,-2.2,0.0,1306,-3.96,汽车整车
3977,300647,超频三,7.06,-6.4,3384.0,-1.12,-1.48,2378,2.77,-2.82,3089,4.59,消费电子
3978,300307,慈星股份,7.97,-23.79,5426.0,-1.12,-8.62,5057,1.14,-8.52,5269,-3.16,专用设备
3979,603869,ST智知,7.93,-10.24,4261.0,-1.12,0.96,1192,5.17,3.09,268,13.94,互联网服务
3980,603321,梅轮电梯,8.84,-3.85,2756.0,-1.12,-1.64,2470,-1.89,-2.43,2833,0.91,专用设备
3981,300269,联建光电,5.31,-2.9,2508.0,-1.12,-3.84,3610,1.53,-4.74,4213,1.72,互联网服务
3982,000301,东方盛虹,8.82,-15.28,4985.0,-1.12,-5.74,4371,-0.11,-2.93,3165,-3.08,化学原料
3983,002771,真视通,17.66,-4.15,2834.0,-1.12,0.46,1472,1.96,-1.72,2338,1.2,互联网服务
3984,688670,金迪克,16.72,-1.61,2212.0,-1.12,-8.06,4969,-0.12,-7.82,5164,3.4,化学制药
3985,300461,田中精机,21.24,-10.85,4371.0,-1.12,-4.13,3765,1.63,-5.09,4393,3.71,专用设备
3986,688265,南模生物,49.29,10.77,258.0,-1.12,7.3,109,10.61,5.1,107,30.4,生物制品
3987,688076,ST诺泰,46.09,-11.19,4434.0,-1.12,-5.22,4205,-6.42,-3.6,3633,-5.11,化学制药
3988,300080,易成新能,4.43,-5.85,3247.0,-1.12,-3.44,3417,0.91,-5.62,4601,-1.99,通用设备
3989,002030,达安基因,7.05,-8.42,3878.0,-1.12,-2.64,2981,-2.22,-2.85,3109,-1.4,医疗器械
3990,300730,科创信息,14.83,-9.42,4114.0,-1.13,-5.94,4435,-0.8,-3.53,3579,0.2,软件开发
3991,301279,金道科技,24.57,-8.55,3912.0,-1.13,-7.86,4929,0.04,-5.01,4348,2.03,通用设备
3992,603278,大业股份,10.5,-21.11,5358.0,-1.13,-13.87,5439,0.67,-12.41,5461,3.14,通用设备
3993,301515,港通医疗,23.71,-0.04,1819.0,-1.13,1.46,1069,3.27,0.89,906,7.67,医疗器械
3994,000691,*ST亚太,7.0,-9.28,4080.0,-1.13,-8.82,5091,-1.96,-5.51,4563,12.72,化学制品
3995,605066,天正电气,7.87,-11.37,4456.0,-1.13,-3.65,3518,3.15,-4.24,3986,3.55,电网设备
3996,300056,中创环保,14.86,-17.87,5213.0,-1.13,-8.4,5025,-2.81,-5.41,4518,5.17,环保行业
3997,301006,迈拓股份,17.5,-5.21,3069.0,-1.13,1.73,971,4.35,-0.68,1703,6.32,仪器仪表
3998,600375,汉马科技,6.99,-3.39,2629.0,-1.13,-1.29,2278,0.87,-2.29,2725,3.25,汽车整车
3999,002263,大东南,3.51,-7.82,3748.0,-1.13,-1.13,2208,0.29,-2.22,2684,-1.68,塑料制品
4000,002917,金奥博,14.94,-17.01,5139.0,-1.13,-12.19,5382,0.07,-8.67,5286,-1.06,化学制品
4001,002151,北斗星通,30.52,-17.15,5149.0,-1.13,-5.26,4217,-0.16,-0.46,1580,3.99,通信设备
4002,688119,中钢洛耐,4.37,12.68,174.0,-1.13,-0.56,1916,0.92,0.49,1089,1.16,非金属材料
4003,688162,巨一科技,31.49,-0.11,1772.0,-1.13,-4.08,3521,3.52,-3.46,3330,0.13,专用设备
