序号,股票代码,股票简称,资产-货币资金,资产-应收账款,资产-存货,资产-总资产,资产-总资产同比,负债-应付账款,负债-预收账款,负债-总负债,负债-总负债同比,资产负债率,股东权益合计,公告日期
110,603320,迪贝电气,146957284.92,156201160.01,181735319.53,1357858679.78,1.0805212122,78019932.83,,216440118.34,-56.339801468,15.9398118201,1141418561.44,2025-08-08
111,603163,圣晖集成,688486207.31,525101984.76,9220856.88,2215186897.96,18.0092387623,683617589.12,,1101146278.08,34.7429570456,49.7089558942,1114040619.88,2025-08-08
112,603096,新经典,195130000.33,126777488.52,152686313.79,1941434265.65,-4.9241302114,47143449.88,,82176665.47,-42.1200883457,4.2327812445,1859257600.18,2025-08-08
113,603087,甘李药业,1091493920.76,504575379.37,1114813922.99,11877795509.79,-0.6254887164,105408368.04,45412.85,912564797.73,-6.4485301946,7.6829475384,10965230712.06,2025-08-08
114,603063,禾望电气,1620694355.0,2349270445.87,1047723032.18,8750840347.72,18.2480640949,932187939.98,,3880789558.99,17.5143099143,44.3476215402,4870050788.73,2025-08-08
115,601128,常熟银行,,,,401226615000.0,9.2359070198,,,369268317000.0,8.9571429655,92.0348509283,31958298000.0,2025-08-08
116,600941,中国移动,190262000000.0,105822000000.0,11378000000.0,2092440000000.0,5.3432324409,315945000000.0,76534000000.0,693546000000.0,8.7509290649,33.1453231634,1398894000000.0,2025-08-08
117,600732,爱旭股份,2135551750.83,1367911776.12,2061846803.83,33991617922.68,-7.5836286246,6916891891.7,,29147328064.86,-0.3226876421,85.7485752257,4844289857.82,2025-08-08
118,600633,浙数文化,1202798377.6,751560235.3,106425709.09,12534056877.56,2.8400790084,313318220.1,1880519.14,1391131315.16,-9.7298438107,11.0988112528,11142925562.4,2025-08-08
119,600573,惠泉啤酒,1315161734.66,3347933.43,61646825.02,1755779540.6,6.0645721685,165645569.59,,409313312.51,7.16656266,23.3123409315,1346466228.09,2025-08-08
120,600368,五洲交通,312208225.93,78913865.2,137972804.75,9696636815.42,3.873449716,74210915.35,21145668.29,2806163648.05,-2.9623744864,28.9395560695,6890473167.37,2025-08-08
121,301232,飞沃科技,463616548.47,1279198861.2,469456381.47,4184321896.08,39.4464716012,591214587.66,0.0,2793706742.61,84.7596440174,66.7660570098,1390615153.47,2025-08-08
122,301052,果麦文化,171079563.46,134630679.76,192972038.01,995237622.3,20.5909223946,151032513.21,62915094.34,279825061.03,86.9130546483,28.116407053,715412561.27,2025-08-08
123,301013,利和兴,75836117.08,352166799.21,276822177.11,1565538595.91,5.2933049098,167052971.39,,774917721.95,21.311360984,49.4984744531,790620873.96,2025-08-08
124,300824,北鼎股份,401685586.98,56444239.36,158498947.81,1011100814.67,11.4854561044,50723101.39,,289790845.08,39.097781361,28.6609248925,721309969.59,2025-08-08
125,300725,药石科技,332313329.44,298698410.66,723553311.64,5524287707.55,16.8864695208,171817332.01,119523.83,1897918507.65,2.0707110121,34.3558954226,3626369199.9,2025-08-08
126,300647,超频三,102286728.06,280675952.72,199754509.17,2023174780.5,-11.6986268085,297515715.33,,1412804008.78,6.0053845972,69.8310409163,610370771.72,2025-08-08
127,300627,华测导航,1297923087.16,1284474943.37,561123302.7,5447253301.29,21.2364149976,396244478.72,,1636232318.11,25.0789534662,30.0377498091,3811020983.18,2025-08-08
128,002813,路畅科技,53531269.57,66356217.31,99524786.31,487436855.94,4.0685739937,51789685.76,0.0,215601320.73,70.3335966539,44.2316411044,271835535.21,2025-08-08
129,002782,可立克,362843414.82,1914617075.61,731475086.95,4694569088.65,18.7506487085,1639838266.51,,2599153076.71,26.8383150224,55.3651043925,2095416011.94,2025-08-08
130,002749,国光股份,1186654788.65,51582346.1,363035230.94,2617825602.24,-1.4594954047,63146801.31,,357886591.6,-15.2122172749,13.6711395631,2259939010.64,2025-08-08
131,002697,红旗连锁,2423508436.88,96975441.08,2075491057.96,8118960072.28,0.2740499565,1340671411.3,,3530874621.71,-9.1770983674,43.4892472715,4588085450.57,2025-08-08
132,002695,煌上煌,1205428249.99,121449493.85,316227396.32,3312780898.04,0.0432248081,146815296.34,,538028830.51,-2.7394508465,16.2410025616,2774752067.53,2025-08-08
133,002290,禾盛新材,494028210.93,469354664.88,369627763.74,1898914848.39,8.2450306037,190031211.25,362786.31,994890755.28,0.7478773643,52.3925944401,904024093.11,2025-08-08
134,002270,华明装备,1269141556.98,882790707.01,446340626.31,4554768953.72,5.4726231693,255222758.86,,1362700843.76,19.8024921544,29.9181112721,3192068109.96,2025-08-08
135,002033,丽江股份,700485836.21,13889015.89,15950278.33,2999733511.93,7.6181695047,143271740.29,4193860.58,328298640.67,34.7909578063,10.9442601939,2671434871.26,2025-08-08
136,001217,华尔泰,252844799.77,55916431.63,177529765.52,3541370791.72,-1.2358009129,439487013.13,106091.0,1285741501.4,-4.3614022051,36.3063225236,2255629290.32,2025-08-08
137,000990,诚志股份,2315840717.12,1083242716.43,761922460.36,27012908936.14,2.7932900155,727693645.82,1211387.29,8336172465.59,9.2954604963,30.8599584195,18676736470.55,2025-08-08
138,000915,华特达因,2071365381.51,78527284.03,78355036.26,4596433238.58,-3.7954464185,32240813.59,2423553.09,517888421.96,-16.9234444684,11.2671803348,4078544816.62,2025-08-08
139,000902,新洋丰,2172640350.21,489751469.84,3279389173.03,18347773218.31,5.1041596592,1672114683.94,,6707688567.58,-5.1303216413,36.5585975353,11640084650.73,2025-08-08
140,000683,博源化工,4606043078.07,61903824.56,739648375.52,38316230536.64,15.9230487778,3273049998.94,,19006043764.87,33.0378970548,49.6031146558,19310186771.77,2025-08-08
141,688267,中触媒,285071607.87,271598562.48,306225332.61,2998163076.58,3.5922262154,91782661.15,,197874902.05,-5.3025101614,6.599871221,2800288174.53,2025-08-07
142,688082,盛美上海,2761358152.81,2728557894.61,4394333116.4,13288530671.76,20.8015339137,1593559555.95,,5046690697.35,20.2933315359,37.9777931963,8241839974.41,2025-08-07
143,603406,天富龙,633349595.78,266487190.89,665470688.29,4047249167.48,8.1396138367,101549963.81,79820.86,342846671.5,-31.4797470231,8.4711036389,3704402495.98,2025-08-07
144,301158,德石股份,254721338.61,336703675.78,474869940.55,1827942543.89,15.3551500771,161631734.63,,471178491.97,51.0137625781,25.7764388462,1356764051.92,2025-08-07
145,300184,力源信息,866119102.75,1948077732.81,1857864488.4,6397847524.52,8.6979037832,941826952.15,,2578444095.5,16.8083322215,40.3017434476,3819403429.02,2025-08-07
146,002996,顺博合金,1849303653.55,2975631532.75,985443311.92,13711635292.02,34.2137840198,333897788.44,1247680.29,10415861889.53,49.6450717592,75.9636736808,3295773402.49,2025-08-07
147,002353,杰瑞股份,8024858216.3,6739915015.57,6099367415.22,37597241772.47,12.0072083127,3594659835.03,,14890948155.13,14.2935806823,39.6064909369,22706293617.34,2025-08-07
148,002233,塔牌集团,1157112511.29,38344432.79,580532172.97,13142080205.99,0.8085917195,515347845.69,,1196393144.43,-11.8394995779,9.1035294693,11945687061.56,2025-08-07
149,000888,峨眉山A,1650895225.12,50536776.72,40659108.59,3373927525.28,4.1844909048,82527400.8,,963570814.48,16.9230103037,28.5593216588,2410356710.8,2025-08-07
150,688041,海光信息,6733197014.76,3100219909.03,6012657314.86,32301590632.07,32.7456491631,796942485.26,,8349672975.88,166.5255067873,25.8491077761,23951917656.19,2025-08-06
151,603508,思维列控,1479562774.25,735683858.65,407805075.33,4950444787.31,3.2598509722,135564445.37,681820.47,266733592.0,17.6597769548,5.3880732633,4683711195.31,2025-08-06
152,603456,九洲药业,2811367282.5,1164881098.15,1606304281.01,10955100867.73,-1.4939404777,927081630.95,,2175837745.58,-17.985047192,19.8614122485,8779263122.15,2025-08-06
153,600273,嘉化能源,1167232258.31,834061703.47,879044159.67,13916655762.83,10.0973360158,832499750.22,,3609013027.8,37.2552389982,25.9330480635,10307642735.03,2025-08-06
154,600114,东睦股份,396598589.46,1509322117.12,970997855.06,7495328983.2,2.930526769,557635150.72,72400.0,4103086948.95,-4.2373421274,54.741919376,3392242034.25,2025-08-06
155,300940,南极光,252784687.56,343263997.65,52682395.65,1599761264.6,14.9483241472,225656133.42,,447441471.53,31.1358503742,27.9692652542,1152319793.07,2025-08-06
156,300871,回盛生物,236264147.13,390557262.66,245430574.11,2967997412.77,0.9155459914,213050304.63,,902549061.83,-40.2694498754,30.4093614754,2065448350.94,2025-08-06
